Country ID,Population
Afghanistan,27101365
Nigeria,186988000
Nicaragua,6198154
Egypt,90369500
Argentina,43590400
China,1357000000
Brazil,200400000
U.S.A,321068000
Ireland,4635400
U.K.,65097000
Germany,81459000
Samoa,187820
Canada,35985751
Australia,23992700
Sweden,9845155
New Zealand,4659070
