ID,Event_Type,Location,Country,Venue,Date,Start_Time,End_Time,Duration
702,Subscription Season,Manhattan,USA,Avery Fisher Hall,25/10/2014,20:00,22:56,176
703,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/10/2014,19:30,22:41,191
704,Chamber Concert (Private),Manhattan,USA,Hon. Frank and Mrs. Newman Residence,27/10/2014,19:30,21:46,136
705,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/10/2014,19:30,22:15,165
706,Subscription Season,Manhattan,USA,Avery Fisher Hall,31/10/2014,19:30,21:50,140
707,Subscription Season,Manhattan,USA,Avery Fisher Hall,01/11/2014,20:00,22:37,157
708,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,03/11/2014,19:00,22:01,181
709,Non-Subscription,Manhattan,USA,Avery Fisher Hall,05/11/2014,19:30,21:48,138
710,Non-Subscription,Manhattan,USA,Avery Fisher Hall,06/11/2014,19:30,22:14,164
711,Non-Subscription,Manhattan,USA,Avery Fisher Hall,07/11/2014,20:00,23:34,214
712,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/11/2014,14:00,16:51,171
713,Non-Subscription,Manhattan,USA,Avery Fisher Hall,08/11/2014,20:00,22:48,168
714,Private Concert,Manhattan,USA,Avery Fisher Hall,07/11/2014,00:00,03:28,208
715,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/11/2014,19:30,22:38,188
716,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/11/2014,19:30,22:28,178
717,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/11/2014,20:00,23:50,230
718,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/11/2014,20:00,22:34,154
719,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/11/2014,19:30,22:18,168
720,Young People's Concert,Manhattan,USA,Avery Fisher Hall,15/11/2014,14:00,17:19,199
721,Contact!,Manhattan,USA,SubCulture,17/11/2014,19:30,22:53,203
722,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/11/2014,19:30,22:42,192
723,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/11/2014,14:00,17:25,205
724,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/11/2014,20:00,22:55,175
725,Chamber,Manhattan,USA,Merkin Concert Hall,23/11/2014,15:00,17:40,160
726,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/11/2014,19:30,22:11,161
727,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/11/2014,20:00,23:49,229
728,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/11/2014,20:00,23:05,185
729,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,29/11/2014,14:00,16:34,154
730,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,30/11/2014,00:30,03:42,192
731,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,30/11/2014,15:00,17:54,174
732,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,01/12/2014,10:30,12:13,103
733,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/12/2014,19:30,21:36,126
734,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/12/2014,14:00,17:04,184
735,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/12/2014,20:00,23:07,187
736,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/12/2014,19:30,21:42,132
737,Chamber,Manhattan,USA,"Theresa L. Kaufmann Concert Hall, 92nd St. YMHA",07/12/2014,15:00,17:57,177
738,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/12/2014,19:30,22:41,191
739,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/12/2014,20:00,22:55,175
740,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/12/2014,20:00,22:05,125
741,Special,Manhattan,USA,Avery Fisher Hall,14/12/2014,15:00,17:50,170
742,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/12/2014,19:30,22:15,165
743,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/12/2014,19:30,22:13,163
744,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/12/2014,19:30,21:32,122
745,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/12/2014,14:00,16:28,148
746,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/12/2014,19:30,22:29,179
747,Non-Subscription,Manhattan,USA,Avery Fisher Hall,19/12/2014,20:00,22:42,162
748,Non-Subscription,Manhattan,USA,Avery Fisher Hall,20/12/2014,14:00,16:53,173
749,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/12/2014,19:30,22:52,202
750,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/01/2015,20:00,23:07,187
751,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/01/2015,19:30,23:00,210
752,New Year's Eve,Manhattan,USA,Avery Fisher Hall,31/12/2014,19:30,21:56,146
753,Subscription Season,Manhattan,USA,Avery Fisher Hall,02/01/2015,20:00,23:24,204
754,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/01/2015,19:30,22:13,163
755,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/01/2015,20:00,23:22,202
756,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/01/2015,20:00,23:38,218
757,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/01/2015,19:30,22:31,181
758,Subscription Season,Manhattan,USA,Avery Fisher Hall,15/01/2015,19:30,23:02,212
759,Subscription Season,Manhattan,USA,Avery Fisher Hall,16/01/2015,19:30,23:25,235
760,Subscription Season,Manhattan,USA,Avery Fisher Hall,17/01/2015,20:00,22:24,144
761,Chamber,Manhattan,USA,Merkin Concert Hall,18/01/2015,15:00,18:19,199
762,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,20/01/2015,19:00,21:42,162
763,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/01/2015,19:30,22:56,206
764,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/01/2015,20:00,22:26,146
765,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/01/2015,20:00,21:54,114
766,Young People's Concert,Manhattan,USA,Avery Fisher Hall,24/01/2015,14:00,16:17,137
767,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/01/2015,19:30,21:44,134
768,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/01/2015,19:30,22:03,153
769,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/01/2015,11:00,12:12,72
770,Subscription Season,Manhattan,USA,Avery Fisher Hall,31/01/2015,20:00,23:15,195
771,Chamber Concert (Private),Manhattan,USA,Racquet and Tennis Club,03/02/2015,19:30,21:52,142
772,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/02/2015,19:30,22:24,174
773,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/02/2015,20:00,23:16,196
774,Subscription Season,Manhattan,USA,Avery Fisher Hall,07/02/2015,20:00,22:57,177
775,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,07/02/2015,14:00,17:11,191
776,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,08/02/2015,00:30,03:23,173
777,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,08/02/2015,15:00,18:13,193
778,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,09/02/2015,10:30,12:18,108
779,Contact!,Manhattan,USA,SubCulture,09/02/2015,19:30,22:30,180
780,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/02/2015,19:30,22:24,174
781,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/02/2015,19:30,22:48,198
782,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/02/2015,14:00,16:33,153
783,Non-Subscription,Manhattan,USA,Avery Fisher Hall,14/02/2015,20:00,23:32,212
784,Chamber Concert (Private),Manhattan,USA,Johnson Residence (Home of Ann and Charles Johnson),15/02/2015,19:30,22:15,165
785,Chamber,Manhattan,USA,Merkin Concert Hall,15/02/2015,15:00,17:59,179
786,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/02/2015,19:30,21:56,146
787,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/02/2015,20:00,22:57,177
788,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/02/2015,20:00,22:06,126
789,Young People's Concert,Manhattan,USA,Avery Fisher Hall,21/02/2015,14:00,16:34,154
790,Pension Fund Benefit Concert,Manhattan,USA,Avery Fisher Hall,24/02/2015,19:30,22:30,180
791,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/02/2015,19:30,22:04,154
792,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/02/2015,11:00,12:16,76
793,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/02/2015,20:00,23:22,202
794,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,04/03/2015,10:30,12:33,123
795,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,04/03/2015,00:00,02:56,176
796,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,05/03/2015,10:30,13:02,152
797,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,05/03/2015,00:00,03:15,195
798,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,06/03/2015,00:00,03:06,186
799,Young People's Concerts for Schools,Manhattan,USA,Avery Fisher Hall,06/03/2015,10:30,12:31,121
800,Contact!,Manhattan,USA,Metropolitan Museum of Art,07/03/2015,19:00,21:35,155
801,Chamber Concert (Private),Manhattan,USA,Takahashi Residence (Home of Motomu and Megumi Takahashi),10/03/2015,19:30,22:32,182
802,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/03/2015,19:30,22:33,183
803,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/03/2015,19:30,22:18,168
804,Subscription Season,Manhattan,USA,Avery Fisher Hall,14/03/2015,20:00,23:12,192
805,Chamber,Manhattan,USA,Merkin Concert Hall,15/03/2015,15:00,18:01,181
806,Chamber Concert (Private),Manhattan,USA,The Stanley H. Kaplan Penthouse,16/03/2015,19:00,21:18,138
807,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/03/2015,19:30,22:35,185
808,Subscription Season,Manhattan,USA,Avery Fisher Hall,20/03/2015,11:00,12:11,71
809,Subscription Season,Manhattan,USA,Avery Fisher Hall,24/03/2015,19:30,23:11,221
810,Runout,Greenvale,USA,Tilles Center for the Performing Arts (Main),21/03/2015,20:00,21:11,71
811,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,22/03/2015,00:30,03:30,180
812,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,22/03/2015,15:00,17:51,171
813,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,23/03/2015,10:30,23:45,795
814,Subscription Season,Manhattan,USA,Avery Fisher Hall,26/03/2015,19:30,22:21,171
815,Subscription Season,Manhattan,USA,Avery Fisher Hall,27/03/2015,20:00,23:35,215
816,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/03/2015,20:00,22:36,156
817,Chamber,Manhattan,USA,Alice Tully Hall,30/03/2015,19:30,22:30,180
818,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/04/2015,19:30,22:37,187
819,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/04/2015,19:30,21:53,143
820,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/04/2015,20:00,23:06,186
821,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/04/2015,20:00,22:51,171
822,Tour,Dublin,IRELAND,National Concert Hall,16/04/2015,20:00,22:35,155
823,Tour,London,ENGLAND,Barbican Centre,17/04/2015,19:30,22:20,170
824,Contact!,London,ENGLAND,"Milton Court at Guild Hall, Barbican Centre",18/04/2015,20:00,23:37,217
825,Tour,London,ENGLAND,Barbican Centre,19/04/2015,19:30,22:13,163
826,Tour - Young People's Concert,London,ENGLAND,Barbican Centre,19/04/2015,16:00,18:43,163
827,Tour,Amsterdam,NETHERLANDS,Concertgebouw,21/04/2015,20:15,23:53,218
828,Tour,Amsterdam,NETHERLANDS,Concertgebouw,22/04/2015,20:15,21:09,54
829,Tour,Luxembourg,LUXEMBOURG,Philharmonie Luxembourg (Jos¸phine-Charlotte),23/04/2015,20:00,22:19,139
830,Tour - Chamber,Paris,FRANCE,Official Residence of the United States Ambassador,24/04/2015,18:30,19:09,39
831,Tour,Paris,FRANCE,"Philharmonie de Paris, La",25/04/2015,20:30,23:11,161
832,Tour,Paris,FRANCE,"Philharmonie de Paris, La",26/04/2015,16:30,20:25,235
833,Tour,Frankfurt,GERMANY,Alte Oper,28/04/2015,20:00,22:50,170
834,Tour - Chamber,Cologne,GERMANY,Wallraf-Richartz Museum,29/04/2015,14:00,23:40,580
835,Tour,Cologne,GERMANY,K_lner Philharmonie,30/04/2015,20:00,22:44,164
836,Tour,Cologne,GERMANY,K_lner Philharmonie,01/05/2015,20:00,23:14,194
837,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/05/2015,19:30,22:38,188
838,Subscription Season,Manhattan,USA,Avery Fisher Hall,08/05/2015,20:00,22:43,163
839,Subscription Season,Manhattan,USA,Avery Fisher Hall,09/05/2015,20:00,22:19,139
840,Young People's Concert,Manhattan,USA,Avery Fisher Hall,09/05/2015,14:00,17:23,203
841,Contact!,Manhattan,USA,SubCulture,11/05/2015,19:30,23:06,216
842,Non-Subscription,Manhattan,USA,Avery Fisher Hall,14/05/2015,19:30,23:19,229
843,Non-Subscription,Manhattan,USA,Avery Fisher Hall,15/05/2015,19:30,21:59,149
844,Non-Subscription,Manhattan,USA,Avery Fisher Hall,16/05/2015,14:00,17:19,199
845,Non-Subscription,Manhattan,USA,Avery Fisher Hall,16/05/2015,19:30,22:51,201
846,Non-Subscription,Manhattan,USA,Avery Fisher Hall,19/05/2015,19:30,22:02,152
847,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/05/2015,19:30,22:46,196
848,Subscription Season,Manhattan,USA,Avery Fisher Hall,22/05/2015,11:00,12:25,85
849,Subscription Season,Manhattan,USA,Avery Fisher Hall,23/05/2015,20:00,22:55,175
850,Saturday Matinee,Manhattan,USA,Avery Fisher Hall,23/05/2015,14:00,17:53,233
851,Special,Manhattan,USA,The Cathedral Church of Saint John the Divine,25/05/2015,20:00,22:35,155
852,Subscription Season,Manhattan,USA,Avery Fisher Hall,28/05/2015,19:30,22:28,178
853,Subscription Season,Manhattan,USA,Avery Fisher Hall,29/05/2015,14:00,17:12,192
854,Subscription Season,Manhattan,USA,Avery Fisher Hall,30/05/2015,20:00,23:15,195
855,Chamber Concert (Private),Manhattan,USA,St. Regis Hotel,02/06/2015,19:00,22:02,182
856,Subscription Season,Manhattan,USA,Avery Fisher Hall,03/06/2015,19:30,22:54,204
857,Subscription Season,Manhattan,USA,Avery Fisher Hall,04/06/2015,19:30,21:35,125
858,Subscription Season,Manhattan,USA,Avery Fisher Hall,05/06/2015,11:00,12:09,69
859,Subscription Season,Manhattan,USA,Avery Fisher Hall,06/06/2015,20:00,22:54,174
860,Contact!,Manhattan,USA,Metropolitan Museum of Art,05/06/2015,19:00,21:49,169
861,Chamber,Manhattan,USA,Merkin Concert Hall,07/06/2015,15:00,17:26,146
862,Subscription Season,Manhattan,USA,Avery Fisher Hall,10/06/2015,19:30,21:36,126
863,Subscription Season,Manhattan,USA,Avery Fisher Hall,11/06/2015,19:30,22:43,193
864,Subscription Season,Manhattan,USA,Avery Fisher Hall,12/06/2015,19:30,23:11,221
865,Subscription Season,Manhattan,USA,Avery Fisher Hall,13/06/2015,20:00,22:11,131
866,Chamber Concert (Private),Manhattan,USA,Upper Story,16/06/2015,19:30,22:18,168
867,Parks,Manhattan,USA,Great Lawn,17/06/2015,20:00,22:53,173
868,Parks,Manhattan,USA,Great Lawn,18/06/2015,20:00,22:17,137
869,Parks,Brooklyn,USA,Prospect Park,19/06/2015,20:00,23:31,211
870,Parks,Queens,USA,Cunningham Park,22/06/2015,20:00,23:17,197
871,Parks - Free Indoor Concert,Staten Island,USA,Snug Harbor,24/06/2015,20:00,22:25,145
872,Tour,Shanghai,CHINA,Shanghai Symphony Hall,04/07/2015,19:30,22:47,197
873,Tour,Shanghai,CHINA,Shanghai Symphony Hall,05/07/2015,19:30,21:59,149
874,Tour,Shanghai,CHINA,Shanghai Poly Grand Theatre,06/07/2015,19:30,22:01,151
875,Tour - Young People's Concert,Shanghai,CHINA,Shanghai Symphony Hall,09/07/2015,19:30,22:06,156
876,Tour,Shanghai,CHINA,Shanghai Symphony Hall,10/07/2015,19:30,22:23,173
877,Tour,Vail,USA,Gerald R. Ford Amphitheater,24/07/2015,18:00,21:11,191
878,Tour,Vail,USA,Gerald R. Ford Amphitheater,25/07/2015,18:00,21:44,224
879,Tour,Vail,USA,Gerald R. Ford Amphitheater,26/07/2015,18:00,21:16,196
880,Tour - Chamber,Vail,USA,De Vink Residence,27/07/2015,18:00,21:23,203
881,Tour - Chamber,Vail,USA,Donovan Pavilion,28/07/2015,18:00,20:40,160
882,Tour,Vail,USA,Gerald R. Ford Amphitheater,29/07/2015,18:00,20:44,164
883,Tour,Vail,USA,Gerald R. Ford Amphitheater,30/07/2015,18:00,21:19,199
884,Tour,Vail,USA,Gerald R. Ford Amphitheater,31/07/2015,18:00,21:15,195
885,Reading Rehearsal,Santa Barbara,USA,Santa Barbara Bowl,02/08/2015,19:00,21:50,170
886,Tour,Santa Barbara,USA,Santa Barbara Bowl,03/08/2015,19:00,21:02,122
887,Subscription Season,Manhattan,USA,Avery Fisher Hall,18/09/2015,19:30,22:21,171
888,Subscription Season,Manhattan,USA,Avery Fisher Hall,19/09/2015,20:00,23:14,194
889,Subscription Season,Manhattan,USA,Avery Fisher Hall,21/09/2015,19:30,22:40,190
890,Non-Subscription,Manhattan,USA,David Geffen Hall,24/09/2015,19:30,22:16,166
891,Subscription Season,Manhattan,USA,David Geffen Hall,25/09/2015,20:00,23:45,225
892,Subscription Season,Manhattan,USA,David Geffen Hall,26/09/2015,20:00,22:37,157
893,Subscription Season,Manhattan,USA,David Geffen Hall,30/09/2015,19:30,23:02,212
894,Subscription Season,Manhattan,USA,David Geffen Hall,01/10/2015,19:30,22:52,202
895,Subscription Season,Manhattan,USA,David Geffen Hall,03/10/2015,20:00,23:09,189
896,Runout,Greenvale,USA,Tilles Center for the Performing Arts (Main),02/10/2015,20:00,23:23,203
897,Special,Manhattan,USA,Carnegie Hall,07/10/2015,19:00,21:51,171
898,Tour,Ann Arbor,USA,Hill Auditorium,09/10/2015,20:00,22:40,160
899,Tour,Ann Arbor,USA,Hill Auditorium,10/10/2015,20:30,23:07,157
900,Tour,Ann Arbor,USA,Hill Auditorium,11/10/2015,15:00,18:21,201
901,Subscription Season,Manhattan,USA,David Geffen Hall,14/10/2015,19:30,22:15,165
902,Subscription Season,Manhattan,USA,David Geffen Hall,15/10/2015,19:30,21:51,141
903,Non-Subscription,Manhattan,USA,David Geffen Hall,16/10/2015,20:00,22:53,173
904,Subscription Season,Manhattan,USA,David Geffen Hall,21/10/2015,19:30,22:50,200
905,Subscription Season,Manhattan,USA,David Geffen Hall,22/10/2015,19:30,22:32,182
906,Subscription Season,Manhattan,USA,David Geffen Hall,23/10/2015,11:00,12:55,115
907,Subscription Season,Manhattan,USA,David Geffen Hall,24/10/2015,20:00,22:27,147
908,Chamber,Manhattan,USA,Merkin Concert Hall,25/10/2015,15:00,18:23,203
909,Subscription Season,Manhattan,USA,David Geffen Hall,29/10/2015,19:30,22:35,185
910,Subscription Season,Manhattan,USA,David Geffen Hall,30/10/2015,14:00,17:43,223
911,Subscription Season,Manhattan,USA,David Geffen Hall,31/10/2015,20:00,23:10,190
912,Saturday Matinee,Manhattan,USA,David Geffen Hall,31/10/2015,14:00,17:03,183
913,Subscription Season,Manhattan,USA,David Geffen Hall,04/11/2015,19:30,22:48,198
914,Subscription Season,Manhattan,USA,David Geffen Hall,05/11/2015,19:30,21:54,144
915,Subscription Season,Manhattan,USA,David Geffen Hall,06/11/2015,20:00,22:24,144
916,Subscription Season,Manhattan,USA,David Geffen Hall,07/11/2015,20:00,22:46,166
917,Contact!,Manhattan,USA,Metropolitan Museum of Art,06/11/2015,19:00,21:21,141
918,Contact!,Manhattan,USA,Metropolitan Museum of Art,07/11/2015,19:00,21:49,169
919,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,08/11/2015,00:30,04:04,214
920,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,08/11/2015,15:00,17:45,165
921,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,09/11/2015,10:30,23:30,780
922,Subscription Season,Manhattan,USA,David Geffen Hall,11/11/2015,19:30,23:03,213
923,Subscription Season,Manhattan,USA,David Geffen Hall,12/11/2015,19:30,23:19,229
924,Subscription Season,Manhattan,USA,David Geffen Hall,14/11/2015,20:00,23:18,198
925,Subscription Season,Manhattan,USA,David Geffen Hall,13/11/2015,20:00,22:55,175
926,Very Young People's Concert,Queens,USA,Jamaica Performing Arts Center,14/11/2015,15:00,17:15,135
927,Contact!,Brooklyn,USA,National Sawdust,16/11/2015,19:30,22:51,201
928,Subscription Season,Manhattan,USA,David Geffen Hall,17/11/2015,19:30,22:52,202
929,Subscription Season,Manhattan,USA,David Geffen Hall,19/11/2015,19:30,21:56,146
930,Subscription Season,Manhattan,USA,David Geffen Hall,20/11/2015,14:00,16:30,150
931,Subscription Season,Manhattan,USA,David Geffen Hall,21/11/2015,20:00,22:16,136
932,Chamber,Manhattan,USA,"Theresa L. Kaufmann Concert Hall, 92nd St. YMHA",22/11/2015,15:00,18:19,199
933,Subscription Season,Manhattan,USA,David Geffen Hall,24/11/2015,19:30,22:17,167
934,Subscription Season,Manhattan,USA,David Geffen Hall,27/11/2015,20:00,23:03,183
935,Saturday Matinee,Manhattan,USA,David Geffen Hall,28/11/2015,14:00,17:06,186
936,Subscription Season,Manhattan,USA,David Geffen Hall,28/11/2015,20:00,23:05,185
937,Non-Subscription,Manhattan,USA,David Geffen Hall,03/12/2015,19:30,21:55,145
938,Chamber,Manhattan,USA,Merkin Concert Hall,06/12/2015,15:00,18:23,203
939,Subscription Season,Manhattan,USA,David Geffen Hall,10/12/2015,19:30,22:32,182
940,Subscription Season,Manhattan,USA,David Geffen Hall,11/12/2015,20:00,22:30,150
941,Subscription Season,Manhattan,USA,David Geffen Hall,12/12/2015,20:00,23:06,186
942,Young People's Concert,Manhattan,USA,David Geffen Hall,12/12/2015,14:00,16:26,146
943,Subscription Season,Manhattan,USA,David Geffen Hall,15/12/2015,19:30,23:33,243
944,Subscription Season,Manhattan,USA,David Geffen Hall,16/12/2015,19:30,22:08,158
945,Subscription Season,Manhattan,USA,David Geffen Hall,17/12/2015,19:30,22:28,178
946,Subscription Season,Manhattan,USA,David Geffen Hall,18/12/2015,11:00,12:52,112
947,Subscription Season,Manhattan,USA,David Geffen Hall,19/12/2015,20:00,22:36,156
948,Non-Subscription,Manhattan,USA,David Geffen Hall,18/12/2015,20:00,23:01,181
949,Non-Subscription,Manhattan,USA,David Geffen Hall,19/12/2015,14:00,17:34,214
950,Subscription Season,Manhattan,USA,David Geffen Hall,29/12/2015,19:30,22:41,191
951,Subscription Season,Manhattan,USA,David Geffen Hall,30/12/2015,19:30,22:25,175
952,Subscription Season,Manhattan,USA,David Geffen Hall,02/01/2016,20:00,22:32,152
953,New Year's Eve,Manhattan,USA,David Geffen Hall,31/12/2015,19:30,22:28,178
954,Subscription Season,Manhattan,USA,David Geffen Hall,07/01/2016,19:30,22:30,180
955,Subscription Season,Manhattan,USA,David Geffen Hall,08/01/2016,20:00,23:32,212
956,Subscription Season,Manhattan,USA,David Geffen Hall,09/01/2016,20:00,23:08,188
957,Subscription Season,Manhattan,USA,David Geffen Hall,12/01/2016,19:30,22:26,176
958,Saturday Matinee,Manhattan,USA,David Geffen Hall,09/01/2016,14:00,17:56,236
959,Chamber Concert (Private),Manhattan,USA,Morgan Library,10/01/2016,15:00,17:27,147
960,Subscription Season,Manhattan,USA,David Geffen Hall,14/01/2016,19:30,23:23,233
961,Subscription Season,Manhattan,USA,David Geffen Hall,15/01/2016,11:00,12:12,72
962,Subscription Season,Manhattan,USA,David Geffen Hall,16/01/2016,20:00,23:00,180
963,Chamber,Manhattan,USA,Merkin Concert Hall,17/01/2016,15:00,18:41,221
964,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,20/01/2016,10:30,12:53,143
965,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,20/01/2016,00:00,02:31,151
966,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,21/01/2016,10:30,12:03,93
967,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,21/01/2016,00:00,02:45,165
968,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,22/01/2016,00:30,03:46,196
969,Young People's Concerts for Schools,Manhattan,USA,David Geffen Hall,22/01/2016,11:00,12:38,98
970,Off the Grid,Manhattan,USA,Baita at Eataly,26/01/2016,20:00,22:59,179
971,Subscription Season,Manhattan,USA,David Geffen Hall,27/01/2016,19:30,23:00,210
972,Subscription Season,Manhattan,USA,David Geffen Hall,30/01/2016,20:00,23:27,207
973,Subscription Season,Manhattan,USA,David Geffen Hall,28/01/2016,19:30,22:41,191
974,Subscription Season,Manhattan,USA,David Geffen Hall,29/01/2016,20:00,22:44,164
975,Subscription Season,Manhattan,USA,David Geffen Hall,30/01/2016,20:00,22:55,175
976,Contact!,Brooklyn,USA,National Sawdust,01/02/2016,19:30,22:32,182
977,Subscription Season,Manhattan,USA,David Geffen Hall,03/02/2016,19:30,23:09,219
978,None,Manhattan,USA,David Geffen Hall,04/02/2016,10:00,12:50,170
979,Subscription Season,Manhattan,USA,David Geffen Hall,04/02/2016,19:30,22:56,206
980,Subscription Season,Manhattan,USA,David Geffen Hall,05/02/2016,20:00,23:00,180
981,Subscription Season,Manhattan,USA,David Geffen Hall,06/02/2016,20:00,22:13,133
982,Pension Fund Benefit Concert,Manhattan,USA,David Geffen Hall,09/02/2016,19:30,23:01,211
983,Subscription Season,Manhattan,USA,David Geffen Hall,11/02/2016,19:30,22:50,200
984,Subscription Season,Manhattan,USA,David Geffen Hall,12/02/2016,20:00,23:20,200
985,Subscription Season,Manhattan,USA,David Geffen Hall,13/02/2016,20:00,23:21,201
986,Subscription Season,Manhattan,USA,David Geffen Hall,16/02/2016,19:30,22:59,209
987,Chamber,Manhattan,USA,Merkin Concert Hall,14/02/2016,15:00,17:38,158
988,Subscription Season,Manhattan,USA,David Geffen Hall,18/02/2016,19:30,22:29,179
989,Subscription Season,Manhattan,USA,David Geffen Hall,19/02/2016,11:00,12:47,107
990,Subscription Season,Manhattan,USA,David Geffen Hall,20/02/2016,20:00,22:48,168
991,Subscription Season,Manhattan,USA,David Geffen Hall,23/02/2016,19:30,22:51,201
992,Subscription Season,Manhattan,USA,David Geffen Hall,25/02/2016,19:30,22:53,203
993,Subscription Season,Manhattan,USA,David Geffen Hall,26/02/2016,14:00,16:39,159
994,Subscription Season,Manhattan,USA,David Geffen Hall,27/02/2016,20:00,21:48,108
995,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,28/02/2016,00:15,03:14,179
996,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,28/02/2016,14:45,18:21,216
997,Very Young People's Concert,Manhattan,USA,Merkin Concert Hall,29/02/2016,10:15,11:45,90
998,Subscription Season,Manhattan,USA,David Geffen Hall,01/03/2016,19:30,22:38,188
999,Subscription Season,Manhattan,USA,David Geffen Hall,03/03/2016,19:30,21:48,138
1000,Subscription Season,Manhattan,USA,David Geffen Hall,04/03/2016,20:00,22:44,164
1001,Subscription Season,Manhattan,USA,David Geffen Hall,05/03/2016,20:00,22:49,169
1002,Subscription Season,Manhattan,USA,David Geffen Hall,08/03/2016,19:30,22:46,196
1003,Contact!,Brooklyn,USA,National Sawdust,07/03/2016,19:30,22:15,165
