Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
03 Jan 1885,Sun,1885,5N,,WAL,ENG,4,7,2,5,1,5,Swansea,N
10 Jan 1885,Sun,1885,5N,,SCO,WAL,0,0,0,0,2,2,"Hamilton Crescent, Glasgow",N
07 Feb 1885,Sat,1885,5N,,ENG,IRE,2,1,2,1,4,1,"Whalley Range, Manchester",N
21 Feb 1885,Sat,1885,5N,,IRE,SCO,0,1,0,1,1,4,"Ormeau, Belfast",N
07 Mar 1885,Sat,1885,5N,,SCO,IRE,5,0,3,0,4,0,"Raeburn Place, Edinburgh",N
02 Jan 1886,Sun,1886,5N,,ENG,WAL,5,3,2,1,4,1,"Rectory Ground, Blackheath",N
09 Jan 1886,Sun,1886,5N,,WAL,SCO,0,7,0,3,0,4,Cardiff Arms Park,N
06 Feb 1886,Sat,1886,5N,,IRE,ENG,0,1,0,1,1,4,"Lansdowne Rd, Dublin",N
20 Feb 1886,Sat,1886,5N,,SCO,IRE,14,0,5,0,5,0,"Raeburn Place, Edinburgh",N
13 Mar 1886,Sat,1886,5N CA,,SCO,ENG,0,0,0,0,2,2,"Raeburn Place, Edinburgh",N
08 Jan 1887,Sun,1887,5N,,WAL,ENG,0,0,0,0,2,2,Llanelli,N
05 Feb 1887,Sat,1887,5N,,IRE,ENG,6,0,2,0,4,0,"Lansdowne Rd, Dublin",N
19 Feb 1887,Sat,1887,5N,,IRE,SCO,0,8,0,3,0,4,"Ormeau, Belfast",N
26 Feb 1887,Sat,1887,5N,,SCO,WAL,20,0,12,0,5,0,"Raeburn Place, Edinburgh",N
05 Mar 1887,Sat,1887,5N CA,,ENG,SCO,1,1,1,1,2,2,"Whalley Range, Manchester",N
12 Mar 1887,Sat,1887,5N,,WAL,IRE,4,3,1,3,4,1,Birkenhead Park,Y
04 Feb 1888,Sat,1888,5N,,WAL,SCO,1,0,1,0,4,1,Newport,N
03 Mar 1888,Sat,1888,5N,,IRE,WAL,7,0,2,0,4,0,"Lansdowne Rd, Dublin",N
10 Mar 1888,Sat,1888,5N,,SCO,IRE,3,0,1,0,4,1,"Raeburn Place, Edinburgh",N
02 Feb 1889,Sat,1889,5N,,SCO,WAL,2,0,2,0,4,1,"Raeburn Place, Edinburgh",N
16 Feb 1889,Sat,1889,5N,,IRE,SCO,0,3,0,0,1,4,"Ormeau, Belfast",N
02 Mar 1889,Sat,1889,5N,,WAL,IRE,0,2,0,2,1,4,Swansea,N
01 Feb 1890,Sat,1890,5N,,WAL,SCO,2,8,1,3,0,4,Cardiff Arms Park,N
15 Feb 1890,Sat,1890,5N,,ENG,WAL,0,1,0,1,1,4,Dewsbury,N
22 Feb 1890,Sat,1890,5N,,SCO,IRE,5,0,1,0,4,0,"Raeburn Place, Edinburgh",N
01 Mar 1890,Sat,1890,5N CA,,SCO,ENG,0,6,0,2,0,4,"Raeburn Place, Edinburgh",N
01 Mar 1890,Sat,1890,5N,,IRE,WAL,3,3,1,1,2,2,"Lansdowne Rd, Dublin",N
15 Mar 1890,Sat,1890,5N,,ENG,IRE,3,0,3,0,4,1,"Rectory Ground, Blackheath",N
03 Jan 1891,Sun,1891,5N,,WAL,ENG,3,7,1,3,0,4,Newport,N
07 Feb 1891,Sat,1891,5N,,IRE,ENG,0,9,0,5,0,5,"Lansdowne Rd, Dublin",N
07 Feb 1891,Sat,1891,5N,,SCO,WAL,15,0,7,0,5,0,"Raeburn Place, Edinburgh",N
21 Feb 1891,Sat,1891,5N,,IRE,SCO,0,14,0,4,0,5,"Ballynafeigh, Belfast",N
07 Mar 1891,Sat,1891,5N CA,,ENG,SCO,3,9,1,2,0,4,Richmond,N
07 Mar 1891,Sat,1891,5N,,WAL,IRE,6,4,1,1,4,1,Llanelli,N
30 Jul 1891,Thu,1891,LT,1,SAF,LIO,0,4,0,2,1,4,"Crusader, Pt Elizabeth",N
29 Aug 1891,Sat,1891,LT,2,SAF,LIO,0,3,0,0,1,4,"Eclectic CG, Kimberley",N
05 Sep 1891,Sat,1891,LT,3,SAF,LIO,0,4,0,2,1,4,"Newlands, Cape Town",N
02 Jan 1892,Sun,1892,5N,,ENG,WAL,17,0,4,0,5,0,"Rectory Ground, Blackheath",N
06 Feb 1892,Sat,1892,5N,,ENG,IRE,7,0,2,0,4,0,"Whalley Range, Manchester",N
06 Feb 1892,Sat,1892,5N,,WAL,SCO,2,7,1,2,0,4,Swansea,N
20 Feb 1892,Sat,1892,5N,,SCO,IRE,2,0,1,0,4,1,"Raeburn Place, Edinburgh",N
05 Mar 1892,Sat,1892,5N CA,,SCO,ENG,0,5,0,1,0,4,"Raeburn Place, Edinburgh",N
05 Mar 1892,Sat,1892,5N,,IRE,WAL,9,0,3,0,4,0,"Lansdowne Rd, Dublin",N
07 Jan 1893,Sun,1893,5N,,WAL,ENG,12,11,3,4,4,2,Cardiff Arms Park,N
04 Feb 1893,Sat,1893,5N,,IRE,ENG,0,4,0,2,1,4,"Lansdowne Rd, Dublin",N
04 Feb 1893,Sat,1893,5N,,SCO,WAL,0,9,0,3,0,4,"Raeburn Place, Edinburgh",N
18 Feb 1893,Sat,1893,5N,,IRE,SCO,0,0,0,0,2,2,"Ballynafeigh, Belfast",N
04 Mar 1893,Sat,1893,5N CA,,ENG,SCO,0,8,0,0,0,4,Leeds,N
11 Mar 1893,Sat,1893,5N,,WAL,IRE,2,0,1,0,4,1,Llanelli,N
06 Jan 1894,Sun,1894,5N,,ENG,WAL,24,3,4,1,5,0,Birkenhead Park,N
03 Feb 1894,Sat,1894,5N,,ENG,IRE,5,7,1,1,1,4,"Rectory Ground, Blackheath",N
03 Feb 1894,Sat,1894,5N,,WAL,SCO,7,0,1,0,4,0,Newport,N
24 Feb 1894,Sat,1894,5N,,IRE,SCO,5,0,1,0,4,1,"Lansdowne Rd, Dublin",N
