23-Feb-03,Sun,2003,6N,2,FRA,SCO,38,3,4,0,5,0,"Stade de France, Paris",N
08-Mar-03,Sat,2003,6N,3,IRE,FRA,15,12,0,0,4,1,"Lansdowne Rd, Dublin",N
08-Mar-03,Sat,2003,6N,3,SCO,WAL,30,22,3,3,4,0,"Murrayfield, Edinburgh",N
09-Mar-03,Sun,2003,6N,3,ENG,ITA,40,5,6,1,5,0,"Twickenham, London",N
22-Mar-03,Sat,2003,6N,4,WAL,IRE,24,25,3,2,1,4,"Millennium Stadium, Cardiff",N
22-Mar-03,Sat,2003,6N,4,ENG,SCO,40,9,4,0,5,0,"Twickenham, London",N
23-Mar-03,Sun,2003,6N,4,ITA,FRA,27,53,4,7,1,5,"Stadio Flaminio, Rome",N
29-Mar-03,Sat,2003,6N,5,SCO,ITA,33,25,4,3,5,0,"Murrayfield, Edinburgh",N
29-Mar-03,Sat,2003,6N,5,FRA,WAL,33,5,3,1,4,0,"Stade de France, Paris",N
30-Mar-03,Sun,2003,6N,5,IRE,ENG,6,42,0,5,0,5,"Lansdowne Rd, Dublin",N
14-Feb-04,Sat,2004,6N,1,WAL,SCO,23,10,3,1,4,0,"Millennium Stadium, Cardiff",N
14-Feb-04,Sat,2004,6N,1,FRA,IRE,35,17,4,2,5,0,"Stade de France, Paris",N
15-Feb-04,Sun,2004,6N,1,ITA,ENG,9,50,0,7,0,5,"Stadio Flaminio, Rome",N
21-Feb-04,Sat,2004,6N,2,FRA,ITA,25,0,3,0,4,0,"Stade de France, Paris",N
21-Feb-04,Sat,2004,6N,2,SCO,ENG,13,35,1,4,0,5,"Murrayfield, Edinburgh",N
22-Feb-04,Sun,2004,6N,2,IRE,WAL,36,15,6,2,5,0,"Lansdowne Rd, Dublin",N
06-Mar-04,Sat,2004,6N,3,ITA,SCO,20,14,1,1,4,1,"Stadio Flaminio, Rome",N
06-Mar-04,Sat,2004,6N,3,ENG,IRE,13,19,1,1,1,4,"Twickenham, London",N
07-Mar-04,Sun,2004,6N,3,WAL,FRA,22,29,1,2,1,4,"Millennium Stadium, Cardiff",N
20-Mar-04,Sat,2004,6N,4,IRE,ITA,19,3,3,0,4,0,"Lansdowne Rd, Dublin",N
20-Mar-04,Sat,2004,6N,4,ENG,WAL,31,21,2,3,4,0,"Twickenham, London",N
21-Mar-04,Sun,2004,6N,4,SCO,FRA,0,31,0,3,0,4,"Murrayfield, Edinburgh",N
27-Mar-04,Sat,2004,6N,5,IRE,SCO,37,16,5,1,5,0,"Lansdowne Rd, Dublin",N
27-Mar-04,Sat,2004,6N,5,WAL,ITA,44,10,6,1,5,0,"Millennium Stadium, Cardiff",N
27-Mar-04,Sat,2004,6N,5,FRA,ENG,24,21,2,2,4,1,"Stade de France, Paris",N
05-Feb-05,Sat,2005,6N,1,FRA,SCO,16,9,1,0,4,1,"Stade de France, Paris",N
05-Feb-05,Sat,2005,6N,1,WAL,ENG,11,9,1,0,4,1,"Millennium Stadium, Cardiff",N
06-Feb-05,Sun,2005,6N,1,ITA,IRE,17,28,1,3,0,4,"Stadio Flaminio, Rome",N
12-Feb-05,Sat,2005,6N,2,ITA,WAL,8,38,1,6,0,5,"Stadio Flaminio, Rome",N
12-Feb-05,Sat,2005,6N,2,SCO,IRE,13,40,2,5,0,5,"Murrayfield, Edinburgh",N
13-Feb-05,Sun,2005,6N,2,ENG,FRA,17,18,2,0,1,4,"Twickenham, London",N
26-Feb-05,Sat,2005,6N,3,SCO,ITA,18,10,0,1,4,0,"Murrayfield, Edinburgh",N
26-Feb-05,Sat,2005,6N,3,FRA,WAL,18,24,2,2,1,4,"Stade de France, Paris",N
27-Feb-05,Sun,2005,6N,3,IRE,ENG,19,13,1,1,4,1,"Lansdowne Rd, Dublin",N
12-Mar-05,Sat,2005,6N,4,IRE,FRA,19,26,1,2,1,4,"Lansdowne Rd, Dublin",N
12-Mar-05,Sat,2005,6N,4,ENG,ITA,39,7,6,1,5,0,"Twickenham, London",N
13-Mar-05,Sun,2005,6N,4,SCO,WAL,22,46,3,6,0,5,"Murrayfield, Edinburgh",N
