Date,Close
2013-01-02,359.288
2013-01-03,359.497
2013-01-04,366.601
2013-01-07,365.001
2013-01-08,364.281
2013-01-09,366.675
2013-01-10,368.344
2013-01-11,367.604
2013-01-14,359.288
2013-01-15,360.123
2013-01-16,355.284
2013-01-17,353.362
2013-01-18,349.979
2013-01-22,349.164
2013-01-23,368.354
2013-01-24,374.668
2013-01-25,374.4
2013-01-28,372.939
2013-01-29,374.405
2013-01-30,374.479
2013-01-31,375.403
2013-02-01,385.294
2013-02-04,377.058
2013-02-05,380.396
2013-02-06,382.597
2013-02-07,384.474
2013-02-08,390.147
2013-02-11,388.682
2013-02-12,387.828
2013-02-13,388.901
2013-02-14,391.365
2013-02-15,393.883
2013-02-19,400.818
2013-02-20,393.67
2013-02-21,395.195
2013-02-22,397.271
2013-02-25,392.83
2013-02-26,392.512
2013-02-27,397.306
2013-02-28,398.011
2013-03-01,400.49
2013-03-04,408.096
2013-03-05,416.59
2013-03-06,413.004
2013-03-07,413.61
2013-03-08,413.073
2013-03-11,414.713
2013-03-12,411.131
2013-03-13,409.988
2013-03-14,408.116
2013-03-15,404.519
2013-03-18,401.285
2013-03-19,403.039
2013-03-20,404.723
2013-03-21,403.009
2013-03-22,402.537
2013-03-25,402.204
2013-03-26,403.585
2013-03-27,398.737
2013-03-28,394.529
2013-04-01,398.006
2013-04-02,403.893
2013-04-03,400.495
2013-04-04,394.966
2013-04-05,388.995
2013-04-08,384.921
2013-04-09,386.312
2013-04-10,392.537
2013-04-11,392.641
2013-04-12,392.472
2013-04-15,388.439
2013-04-16,394.122
2013-04-17,388.752
2013-04-18,380.48
2013-04-19,397.351
2013-04-22,397.47
2013-04-23,401.34
2013-04-24,404.097
2013-04-25,401.936
2013-04-26,398.121
2013-04-29,406.884
2013-04-30,409.621
2013-05-01,407.564
2013-05-02,412.125
2013-05-03,420.127
2013-05-06,427.991
2013-05-07,425.845
2013-05-08,433.992
2013-05-09,432.924
2013-05-10,437.271
2013-05-13,435.93
2013-05-14,440.684
2013-05-15,454.986
2013-05-16,449.015
2013-05-17,451.652
2013-05-20,451.33
2013-05-21,450.555
2013-05-22,441.836
2013-05-23,438.543
2013-05-24,433.838
2013-05-28,437.788
2013-05-29,431.349
2013-05-30,432.567
2013-05-31,432.795
2013-06-03,431.012
2013-06-04,426.774
2013-06-05,427.072
2013-06-06,429.526
2013-06-07,437.023
2013-06-10,442.234
2013-06-11,437.062
2013-06-12,433.173
2013-06-13,435.666
2013-06-14,434.693
2013-06-17,440.262
2013-06-18,447.4
2013-06-19,447.43
2013-06-20,439.511
2013-06-21,437.619
2013-06-24,432.085
2013-06-25,430.301
2013-06-26,434.002
2013-06-27,435.701
2013-06-28,437.341
2013-07-01,441.071
2013-07-02,438.304
2013-07-03,440.351
2013-07-05,443.858
2013-07-08,449.621
2013-07-09,449.695
2013-07-10,450.068
2013-07-11,457.147
2013-07-12,458.518
2013-07-15,459.357
2013-07-16,456.834
2013-07-17,456.307
2013-07-18,452.398
2013-07-19,445.403
2013-07-22,452.408
2013-07-23,448.98
2013-07-24,448.533
2013-07-25,440.982
2013-07-26,439.814
2013-07-29,438.284
2013-07-30,442.581
2013-07-31,441.007
2013-08-01,449.188
2013-08-02,450.356
2013-08-05,449.576
2013-08-06,445.388
2013-08-07,442.447
2013-08-08,443.446
2013-08-09,442.328
2013-08-12,439.894
2013-08-13,437.778
2013-08-14,432.095
2013-08-15,427.052
2013-08-16,425.686
